awards|imdbid|oscars
Won 1 Oscar. Another 17 wins & 35 nominations.|0170016|won
Nominated for 2 Oscars. Another 15 wins & 33 nominations.|0162222|nom
10 wins & 18 nominations.|0120755|none
Won 5 Oscars. Another 53 wins & 101 nominations.|0172495|won
Nominated for 1 Golden Globe. Another 5 wins & 7 nominations.|0207201|none
Nominated for 2 Oscars. Another 4 wins & 24 nominations.|0177971|nom
Nominated for 1 Oscar. Another 7 wins & 14 nominations.|0212338|nom
13 wins & 26 nominations.|0120903|none
7 wins & 5 nominations.|0175142|none
4 wins & 5 nominations.|0161081|none
4 wins & 20 nominations.|0130623|none
Won 4 Oscars. Another 95 wins & 127 nominations.|0190332|won
Won 1 Oscar. Another 31 wins & 57 nominations.|0195685|won
13 wins & 27 nominations.|0160127|none
Won 4 Oscars. Another 69 wins & 83 nominations.|0181865|won
2 wins & 12 nominations.|0144528|none
1 win & 8 nominations.|0208003|none
8 wins & 17 nominations.|0210945|none
Nominated for 3 Oscars. Another 8 wins & 18 nominations.|0187393|nom
Nominated for 1 Golden Globe. Another 23 wins & 26 nominations.|0120630|none
Nominated for 2 Golden Globes. Another 7 wins & 5 nominations.|0212346|none
6 wins & 5 nominations.|0187078|none
2 wins & 12 nominations.|0217869|none
2 wins & 4 nominations.|0183505|none
Nominated for 1 Oscar. Another 4 wins & 6 nominations.|0186566|nom
Nominated for 1 Oscar. Another 8 wins & 27 nominations.|0120917|nom
5 wins & 5 nominations.|0134084|none
Won 1 Oscar. Another 2 wins & 10 nominations.|0141926|won
2 wins & 7 nominations.|0213203|none
4 wins & 6 nominations.|0218967|none
Nominated for 1 Oscar. Another 7 wins & 9 nominations.|0164052|nom
Nominated for 5 Oscars. Another 7 wins & 30 nominations.|0241303|nom
1 win & 13 nominations.|0162650|none
1 win & 2 nominations.|0219854|none
Nominated for 1 BAFTA Film Award. Another 2 wins & 3 nominations.|0190865|none
3 wins & 9 nominations.|0215129|none
2 wins & 7 nominations.|0204946|none
Nominated for 1 Oscar. Another 1 win & 4 nominations.|0211181|nom
1 win & 2 nominations.|0160797|none
Nominated for 1 Oscar. Another 6 wins & 23 nominations.|0209958|nom
1 nomination.|0183523|none
4 wins & 4 nominations.|0200550|none
4 nominations.|0184907|none
1 nomination.|0195945|none
5 nominations.|0190138|none
1 win & 7 nominations.|0184894|none
1 win & 7 nominations.|0165929|none
3 wins & 3 nominations.|0195714|none
5 wins & 13 nominations.|0181536|none
1 win & 12 nominations.|0138749|none
11 nominations.|0203019|none
5 nominations.|0242423|none
5 nominations.|0220099|none
Nominated for 2 Oscars. Another 7 wins & 35 nominations.|0190590|nom
Nominated for 1 Golden Globe. Another 2 wins & 7 nominations.|0186151|none
N/A|0191397|none
N/A|0235679|none
7 nominations.|0163978|none
7 nominations.|0185431|none
2 wins & 4 nominations.|0134847|none
3 nominations.|0236388|none
1 win & 3 nominations.|0230030|none
3 nominations.|0174480|none
1 win.|0191754|none
2 wins & 5 nominations.|0171433|none
2 wins & 2 nominations.|0186894|none
2 wins & 1 nomination.|0162983|none
6 nominations.|0158622|none
1 nomination.|0192614|none
8 nominations.|0216216|none
3 wins & 7 nominations.|0146309|none
7 wins & 4 nominations.|0156812|none
1 win & 2 nominations.|0198021|none
1 win & 4 nominations.|0223897|none
1 nomination.|0219653|none
1 win & 2 nominations.|0122459|none
5 nominations.|0228750|none
Won 1 Oscar. Another 52 wins & 102 nominations.|0181875|won
2 wins & 10 nominations.|0146984|none
4 wins & 6 nominations.|0208092|none
2 wins & 9 nominations.|0160009|none
1 win & 5 nominations.|0163983|none
1 nomination.|0204626|none
12 wins & 15 nominations.|0199725|none
Nominated for 1 Golden Globe. Another 3 wins & 21 nominations.|0146882|none
