How the Grinch Stole Christmas|$260,044,825|$55,082,330|3,256|2000
Cast Away|$233,632,142|$28,883,406|3,061|2000
Mission: Impossible II|$215,409,889|$57,845,297|3,669|2000
Gladiator|$187,705,427|$34,819,017|3,188|2000
What Women Want|$182,811,707|$33,614,543|3,092|2000
The Perfect Storm|$182,618,434|$41,325,042|3,407|2000
Meet the Parents|$166,244,045|$28,623,300|2,697|2000
X-Men|$157,299,717|$54,471,475|3,112|2000
Scary Movie|$157,019,771|$42,346,669|3,301|2000
What Lies Beneath|$155,464,351|$29,702,959|2,925|2000
Dinosaur|$137,748,063|$38,854,851|3,319|2000
Crouching Tiger, Hidden Dragon|$128,078,872|$663,205|2,027|2000
Erin Brockovich|$125,595,205|$28,138,465|3,070|2000
Charlie's Angels|$125,305,545|$40,128,550|3,037|2000
Traffic|$124,115,725|$184,725|1,755|2000
The Nutty Professor II: The Klumps|$123,309,890|$42,518,830|3,251|2000
Big Momma's House|$117,559,438|$25,661,041|2,854|2000
Remember the Titans|$115,654,751|$20,905,831|2,803|2000
The Patriot|$113,330,342|$22,413,710|3,061|2000
Chicken Run|$106,834,564|$17,506,162|2,953|2000
Miss Congeniality|$106,807,667|$10,046,534|2,668|2000
Gone in 60 Seconds|$101,648,571|$25,336,048|3,089|2000
Unbreakable|$95,011,339|$30,330,771|2,708|2000
Me, Myself and Irene|$90,570,999|$24,209,385|3,087|2000
Space Cowboys|$90,464,773|$18,093,776|2,835|2000
The Emperor's New Groove|$89,302,687|$9,812,302|2,887|2000
Scream 3|$89,143,175|$34,713,342|3,467|2000
U-571|$77,122,415|$19,553,310|2,820|2000
Rugrats in Paris: The Movie|$76,507,756|$22,718,184|2,937|2000
The Family Man|$75,793,305|$10,554,960|2,441|2000
Hollow Man|$73,209,340|$26,414,386|2,956|2000
Chocolat|$71,509,363|$157,624|1,928|2000
Shaft|$70,334,258|$21,714,757|2,433|2000
Disney's The Kid|$69,691,949|$12,687,726|2,343|2000
Vertical Limit|$69,243,859|$15,507,845|2,602|2000
Road Trip|$68,540,777|$15,484,004|2,654|2000
Bring It On|$68,379,000|$17,362,105|2,466|2000
102 Dalmatians|$66,957,026|$19,883,351|2,704|2000
Rules of Engagement|$61,335,230|$15,011,181|3,220|2000
The Cell|$61,334,059|$17,515,050|2,476|2000
Mission to Mars|$60,883,407|$22,855,247|3,101|2000
Coyote Ugly|$60,786,269|$17,319,282|2,664|2000
Fantasia 2000 (35mm & IMAX)|$60,655,420|$2,290,525|1,313|2000
Snow Day|$60,020,107|$14,331,819|2,717|2000
Next Friday|$57,328,603|$14,465,156|1,420|2000
The Whole Nine Yards|$57,262,492|$13,731,070|2,910|2000
Shanghai Noon|$56,937,502|$15,607,034|2,751|2000
Romeo Must Die|$55,973,336|$18,014,503|2,641|2000
Final Destination|$53,331,147|$10,015,822|2,587|2000
Fantasia 2000 (IMAX)|$52,260,454|N/A|N/A|2000
Finding Forrester|$51,804,714|$701,207|2,002|2000
The Road to El Dorado|$50,863,742|$12,846,652|3,223|2000
Men of Honor|$48,818,921|$13,339,465|2,188|2000
Dude, Where's My Car?|$46,729,800|$13,845,914|2,100|2000
The Tigger Movie|$45,554,533|$9,427,532|2,818|2000
O Brother, Where Art Thou?|$45,512,588|$195,104|847|2000
Frequency|$45,010,278|$9,025,584|2,631|2000
The Replacements|$44,737,059|$11,039,214|2,754|2000
Pokemon: The Movie 2000|$43,758,684|$19,575,608|2,752|2000
The Beach|$39,785,027|$15,277,921|2,587|2000
The Exorcist Director's Cut|$39,671,011|$8,175,666|1,708|2000
Little Nicky|$39,464,775|$16,063,904|2,910|2000
Pitch Black|$39,240,659|$11,577,688|1,930|2000
The Original Kings of Comedy|$38,182,790|$11,053,832|1,082|2000
Bedazzled (2000)|$37,886,980|$13,106,526|2,571|2000
Autumn in New York|$37,761,915|$10,987,006|2,282|2000
28 Days|$37,170,488|$10,310,672|2,523|2000
Keeping the Faith|$37,047,880|$8,078,671|2,171|2000
Bounce|$36,805,288|$11,423,716|2,028|2000
Hanging Up|$36,050,230|$13,567,978|2,618|2000
The Flintstones in Viva Rock Vegas|$35,268,275|$10,518,435|3,125|2000
The Skulls|$35,046,120|$11,034,885|2,416|2000
The 6th Day|$34,604,280|$13,020,883|2,516|2000
Thirteen Days|$34,592,089|$46,668|2,034|2000
My Dog Skip|$34,134,641|$56,943|2,331|2000
Where the Heart Is|$33,772,838|$8,292,939|2,439|2000
Pay It Forward|$33,519,628|$9,631,359|2,130|2000
Dracula 2000|$33,022,767|$8,636,567|2,204|2000
Return to Me|$32,722,798|$7,820,836|2,320|2000
Proof of Life|$32,598,931|$10,207,869|2,705|2000
Almost Famous|$32,534,850|$2,314,646|2,262|2000
The Legend of Bagger Vance|$30,919,168|$11,516,712|2,162|2000
Snatch|$30,328,156|$27,932|1,444|2000
The Art of War|$30,208,599|$10,410,993|2,630|2000
Bless the Child|$29,381,494|$9,413,684|2,524|2000
The Watcher|$28,946,615|$9,062,295|2,777|2000
Love & Basketball|$27,459,615|$8,139,180|1,245|2000
High Fidelity|$27,287,137|$6,429,107|1,231|2000
Book of Shadows: Blair Witch 2|$26,437,094|$13,223,887|3,320|2000
The Adventures of Rocky & Bullwinkle|$26,005,820|$6,814,270|2,482|2000
Nurse Betty|$25,170,054|$7,145,950|1,491|2000
Reindeer Games|$23,368,995|$8,128,356|2,204|2000
Titan A.E.|$22,753,426|$9,376,845|2,775|2000
Billy Elliot|$21,995,263|$215,681|510|2000
Boys and Girls|$21,799,652|$7,008,950|1,989|2000
Battlefield Earth|$21,471,685|$11,548,898|3,307|2000
Urban Legends: Final Cut|$21,468,807|$8,505,513|2,539|2000
Down to You|$20,069,008|$7,602,507|2,003|2000
Wonder Boys|$19,393,557|$5,808,919|1,509|2000
Best in Show|$18,715,392|$413,436|497|2000
The Ninth Gate|$18,661,336|$6,622,518|1,694|2000
Michael Jordan to the Max (IMAX)|$18,650,521|$578,141|56|2000
The Contender|$17,872,723|$5,363,900|1,639|2000
Red Planet|$17,480,890|$8,721,296|2,703|2000
Small Time Crooks|$17,266,359|$3,880,723|886|2000
Center Stage|$17,200,925|$4,604,621|1,506|2000
Boiler Room|$16,970,581|$5,742,129|1,335|2000
Lost Souls|$16,815,253|$7,954,766|1,970|2000
Eye of the Beholder|$16,500,786|$5,959,447|1,751|2000
Thomas and the Magic Railroad|$15,933,506|$4,154,932|2,110|2000
Cirque du Soleil: Journey of Man (IMAX)|$15,627,434|$49,837|22|2000
Loser|$15,618,626|$6,008,611|2,016|2000
All the Pretty Horses|$15,540,353|$1,304,971|1,593|2000
Drowning Mona|$15,506,764|$5,802,229|1,981|2000
Bait|$15,325,127|$5,485,591|2,352|2000
Dungeons & Dragons|$15,220,685|$7,237,422|2,078|2000
American Psycho|$15,070,285|$4,961,015|1,242|2000
The Next Best Thing|$14,990,582|$5,870,387|2,035|2000
Get Carter|$14,967,182|$6,637,830|2,315|2000
Supernova|$14,230,455|$5,778,639|2,280|2000
The Ladies Man|$13,616,610|$5,426,390|2,043|2000
The Little Vampire|$13,572,400|$5,719,627|2,009|2000
Solarmax|$13,400,161|$35,341|6|2000
Dr. T and the Women|$13,113,041|$5,012,867|1,489|2000
The Crew|$13,023,075|$4,051,921|1,515|2000
Highlander: Endgame|$12,811,858|$5,067,331|1,546|2000
Ready to Rumble|$12,394,327|$5,257,778|2,585|2000
Saving Grace|$12,178,602|$287,452|875|2000
The Gift|$12,008,642|$11,827|807|2000
The Legend of Drunken Master|$11,555,430|$3,845,278|1,345|2000
Cyberworld 3-D (IMAX)|$11,253,900|$278,199|38|2000
Here on Earth|$10,522,168|$4,510,705|1,713|2000
Lucky Numbers|$10,042,516|$4,536,625|2,528|2000
Godzilla 2000|$10,037,390|$4,407,720|2,111|2000
3 Strikes|$9,832,166|$3,684,704|678|2000
Digimon: The Movie|$9,631,153|$4,233,304|1,825|2000
You Can Count on Me|$9,183,362|$118,170|150|2000
Whatever It Takes|$8,745,680|$4,104,298|2,272|2000
Pollock|$8,598,593|$44,244|280|2000
Fantasia 2000 (35mm)|$8,394,966|N/A|N/A|2000
Shadow of the Vampire|$8,293,784|$150,171|513|2000
Quills|$7,065,332|$249,383|223|2000
Screwed|$7,027,345|$3,342,085|1,761|2000
State and Main|$6,944,471|$580,163|462|2000
I Dreamed of Africa|$6,651,522|$2,411,445|2,112|2000
What Planet Are You From?|$6,291,602|$3,008,746|2,248|2000
