title|gross|opening|theaters|year|genres|imdbid|imdbrating|imdburl|metascore|movieid|mpaarating|nvotes
How the Grinch Stole Christmas|$260,044,825|$55,082,330|3,256|2000|Comedy,Family,Fantasy|0170016|6.0|http://akas.imdb.com/title/tt0170016/|46|0170016|PG|140082
Cast Away|$233,632,142|$28,883,406|3,061|2000|Adventure,Drama,Romance|0162222|7.7|http://akas.imdb.com/title/tt0162222/|73|0162222|PG-13|388739
Mission: Impossible II|$215,409,889|$57,845,297|3,669|2000|Action,Adventure,Thriller|0120755|6.1|http://akas.imdb.com/title/tt0120755/|59|0120755|PG-13|238508
Gladiator|$187,705,427|$34,819,017|3,188|2000|Action,Drama|0172495|8.5|http://akas.imdb.com/title/tt0172495/|64|0172495|R|967021
What Women Want|$182,811,707|$33,614,543|3,092|2000|Comedy,Fantasy,Romance|0207201|6.4|http://akas.imdb.com/title/tt0207201/|47|0207201|PG-13|157326
The Perfect Storm|$182,618,434|$41,325,042|3,407|2000|Action,Adventure,Drama,Thriller|0177971|6.4|http://akas.imdb.com/title/tt0177971/|59|0177971|PG-13|131991
Meet the Parents|$166,244,045|$28,623,300|2,697|2000|Comedy|0212338|7.0|http://akas.imdb.com/title/tt0212338/|73|0212338|PG-13|257854
X-Men|$157,299,717|$54,471,475|3,112|2000|Action,Adventure,Sci-Fi|0120903|7.4|http://akas.imdb.com/title/tt0120903/|64|0120903|PG-13|445386
Scary Movie|$157,019,771|$42,346,669|3,301|2000|Comedy|0175142|6.2|http://akas.imdb.com/title/tt0175142/|48|0175142|R|185227
What Lies Beneath|$155,464,351|$29,702,959|2,925|2000|Drama,Fantasy,Horror,Mystery,Thriller|0161081|6.6|http://akas.imdb.com/title/tt0161081/|51|0161081|PG-13|97668
Dinosaur|$137,748,063|$38,854,851|3,319|2000|Animation,Adventure,Family,Thriller|0130623|6.4|http://akas.imdb.com/title/tt0130623/|56|0130623|PG|37874
Crouching Tiger, Hidden Dragon|$128,078,872|$663,205|2,027|2000|Action,Drama,Romance|0190332|7.9|http://akas.imdb.com/title/tt0190332/|93|0190332|PG-13|216040
Erin Brockovich|$125,595,205|$28,138,465|3,070|2000|Biography,Drama|0195685|7.3|http://akas.imdb.com/title/tt0195685/|73|0195685|R|133600
Charlie's Angels|$125,305,545|$40,128,550|3,037|2000|Action,Adventure,Comedy,Crime,Thriller|0160127|5.5|http://akas.imdb.com/title/tt0160127/|52|0160127|PG-13|144099
Traffic|$124,115,725|$184,725|1,755|2000|Crime,Drama,Thriller|0181865|7.6|http://akas.imdb.com/title/tt0181865/|86|0181865|R|169357
