amazon|amazon_link|hulu|hulu_link|imdbid|netflix|netflix_link
0||0||0170016|0|
0||0||0162222|0|
0||0||0172495|0|
0||0||0207201|0|
0||0||0212338|0|
0||0||0120903|0|
0||0||0161081|0|
0||0||0130623|0|
0||0||0190332|0|
1|https://www.amazon.com/Alfie-Michael-Caine/dp/B001KVD8IY|0||0195685|0|
0||0||0160127|0|
0||0||0181865|0|
0||0||0144528|0|
0||0||0208003|0|
0||0||0210945|0|
0||0||0187393|0|
0||0||0120630|0|
0||0||0212346|0|
0||0||0187078|0|
0||0||0217869|0|
0||0||0183505|0|
0||0||0120917|0|
0||0||0213203|0|
0||0||0241303|0|
0||0||0162650|0|
0||0||0204946|0|
0||0||0211181|0|
0||0||0160797|0|
0||0||0209958|0|
0||0||0190138|0|
0||0||0184894|0|
0||0||0165929|0|
0||0||0195714|0|
0||0||0181536|0|
0||0||0138749|1|https://www.netflix.com/title/60000171
0||0||0242423|0|
0||0||0220099|0|
0||0||0190590|1|https://www.netflix.com/title/60002991
0||0||0186151|0|
0||0||0134847|0|
0||0||0236388|0|
0||0||0230030|0|
0||0||0171433|0|
0||0||0186894|0|
0||0||0158622|0|
0||0||0216216|0|
0||0||0156812|0|
0||0||0223897|0|
0||0||0122459|0|
0||0||0228750|0|
0||0||0181875|0|
0||0||0146984|0|
0||0||0208092|0|
0||0||0199725|0|
0||0||0146882|0|
0||0||0131704|0|
0||0||0171580|0|
0||0||0249462|0|
0||0||0185014|0|
0||0||0218839|0|
0||0||0241527|0|
0||0||0120737|0|
0||0||0126029|0|
1|https://www.amazon.com/Monsters-Inc-John-Goodman/dp/B0049J2BSM|0||0198781|0|
0||0||0266915|0|
0||0||0209163|0|
0||0||0213149|0|
1|https://www.amazon.com/Oceans-Eleven-George-Clooney/dp/B001XVM09Y|0||0240772|0|
0||0||0163025|0|
0||0||0133152|0|
1|https://www.amazon.com/Beautiful-Mind-Russell-Crowe/dp/B00ENYKLIK|0||0268978|0|
0||0||0212985|0|
0||0||0252866|0|
0||0||0232500|0|
0||0||0146316|0|
0||0||0240462|0|
0||0||0227538|0|
0||0||0265086|0|
0||0||0247638|0|
0||0||0259711|0|
0||0||0230600|0|
0||0||0265029|0|
0||0||0239395|0|
0||0||0230011|0|
0||0||0268397|0|
0||0||0212720|0|
0||0||0139654|0|
0||0||0164334|0|
0||0||0243155|0|
0||0||0227445|0|
0||0||0256380|0|
0||0||0244244|0|
0||0||0236493|0|
0||1|http://www.hulu.com/watch/29271|0266987|0|
0||0||0159273|0|
0||0||0203009|0|
0||0||0250687|0|
0||0||0183790|0|
0||0||0265666|0|
0||0||0242445|0|
0||0||0215750|0|
0||0||0272152|0|
0||0||0035423|0|
0||0||0249478|0|
0||0||0280707|0|
0||0||0125022|0|
0||0||0251075|0|
0||0||0277371|0|
0||0||0263488|0|
0||0||0271027|0|
0||0||0265632|0|
