imdbid|rating|votes
0170016|1|3937
0170016|2|3337
0170016|3|5693
0170016|4|10607
0170016|5|22125
0170016|6|32858
0170016|7|27595
0170016|8|15666
0170016|9|6591
0170016|10|11673
0162222|1|1878
0162222|2|1377
0162222|3|2122
0162222|4|4273
0162222|5|10293
0162222|6|31106
0162222|7|92809
0162222|8|136442
0162222|9|66080
0162222|10|42359
0120755|1|6136
0120755|2|5022
0120755|3|8944
0120755|4|16390
0120755|5|37171
0120755|6|66730
0120755|7|55561
0120755|8|25437
0120755|9|8226
0120755|10|8891
0172495|1|6263
0172495|2|3006
0172495|3|4411
0172495|4|7142
0172495|5|15508
0172495|6|37118
0172495|7|106133
0172495|8|236559
0172495|9|286735
0172495|10|264146
0207201|1|2000
0207201|2|1943
0207201|3|3527
0207201|4|7789
0207201|5|18911
0207201|6|41762
0207201|7|46578
0207201|8|21524
0207201|9|6751
0207201|10|6541
0177971|1|2146
0177971|2|1874
0177971|3|3315
0177971|4|6896
0177971|5|16358
0177971|6|34847
0177971|7|36950
0177971|8|18374
0177971|9|5943
0177971|10|5288
0212338|1|2165
0212338|2|1879
0212338|3|3169
0212338|4|6433
0212338|5|15898
0212338|6|42853
0212338|7|92817
0212338|8|57993
0212338|9|19515
0212338|10|15132
0120903|1|2270
0120903|2|1307
0120903|3|2432
0120903|4|5103
0120903|5|14765
0120903|6|50620
0120903|7|146895
0120903|8|139752
0120903|9|45347
0120903|10|36895
0175142|1|6544
0175142|2|4748
0175142|3|6895
0175142|4|11731
0175142|5|24105
0175142|6|43898
0175142|7|42190
0175142|8|22406
0175142|9|8733
0175142|10|13977
0161081|1|1038
0161081|2|976
0161081|3|2064
0161081|4|4202
0161081|5|9998
0161081|6|22489
0161081|7|29491
0161081|8|16353
0161081|9|5834
0161081|10|5223
0130623|1|515
0130623|2|466
0130623|3|853
0130623|4|1877
0130623|5|4609
0130623|6|9370
0130623|7|10002
0130623|8|5238
0130623|9|1939
0130623|10|3005
0190332|1|4759
0190332|2|1678
0190332|3|2023
0190332|4|3194
0190332|5|6592
0190332|6|14821
0190332|7|35574
0190332|8|60011
0190332|9|44325
0190332|10|43063
0195685|1|1380
0195685|2|714
0195685|3|1132
0195685|4|2349
0195685|5|6043
0195685|6|16669
0195685|7|41378
0195685|8|37930
0195685|9|15501
0195685|10|10504
0160127|1|5453
0160127|2|4878
0160127|3|8280
0160127|4|15248
0160127|5|29801
0160127|6|35475
0160127|7|24287
0160127|8|11254
0160127|9|3835
0160127|10|5588
0181865|1|2085
0181865|2|1066
0181865|3|1491
0181865|4|2549
0181865|5|5875
0181865|6|14624
0181865|7|39512
0181865|8|55624
0181865|9|28951
0181865|10|17580
0144528|1|3147
0144528|2|3439
0144528|3|5231
0144528|4|7949
0144528|5|7973
0144528|6|5394
0144528|7|2888
0144528|8|1321
0144528|9|441
0144528|10|1230
0208003|1|3626
0208003|2|3477
0208003|3|5328
0208003|4|9584
0208003|5|14584
0208003|6|13655
0208003|7|8073
0208003|8|3632
0208003|9|1275
0208003|10|2924
0210945|1|901
0210945|2|465
0210945|3|740
0210945|4|1685
0210945|5|4256
0210945|6|12007
0210945|7|34588
0210945|8|51147
0210945|9|27598
0210945|10|25554
0187393|1|3780
0187393|2|2111
0187393|3|3304
0187393|4|5623
0187393|5|12115
0187393|6|27888
0187393|7|55735
0187393|8|49054
0187393|9|23762
0187393|10|22074
0120630|1|1408
0120630|2|1053
0120630|3|1760
0120630|4|3510
0120630|5|9034
0120630|6|22707
0120630|7|43820
0120630|8|32643
0120630|9|12821
0120630|10|10033
0212346|1|1949
0212346|2|2202
0212346|3|4013
0212346|4|8815
0212346|5|19561
0212346|6|36079
0212346|7|31252
0212346|8|16151
0212346|9|6294
0212346|10|8582
0187078|1|2925
0187078|2|2949
0187078|3|5010
0187078|4|10635
0187078|5|24491
0187078|6|51692
0187078|7|60488
0187078|8|32616
0187078|9|12050
0187078|10|13415
0217869|1|2808
0217869|2|2042
0217869|3|3210
0217869|4|6111
0217869|5|13802
0217869|6|34132
0217869|7|69485
0217869|8|63815
0217869|9|27749
0217869|10|19737
0183505|1|2648
0183505|2|2500
0183505|3|4231
0183505|4|8535
0183505|5|19667
0183505|6|42304
0183505|7|52677
0183505|8|29471
0183505|9|10828
0183505|10|11102
0186566|1|600
0186566|2|569
0186566|3|1215
0186566|4|2810
0186566|5|7169
0186566|6|16218
0186566|7|17892
0186566|8|8259
0186566|9|2505
0186566|10|2353
0120917|1|847
0120917|2|690
0120917|3|1132
0120917|4|2513
0120917|5|6410
0120917|6|16451
0120917|7|34415
0120917|8|31590
0120917|9|14851
0120917|10|16789
0134084|1|2966
0134084|2|2843
0134084|3|5450
0134084|4|10880
0134084|5|21958
0134084|6|22894
0134084|7|14486
0134084|8|6841
0134084|9|2690
0134084|10|6313
0141926|1|1823
0141926|2|837
0141926|3|1313
0141926|4|2387
0141926|5|5987
0141926|6|13990
0141926|7|20855
0141926|8|11235
0141926|9|3619
0141926|10|2811
0213203|1|214
0213203|2|177
0213203|3|284
0213203|4|569
0213203|5|1230
0213203|6|2056
0213203|7|1469
0213203|8|804
0213203|9|304
0213203|10|883
0218967|1|792
0218967|2|661
0218967|3|1235
0218967|4|2898
0218967|5|7694
0218967|6|18279
0218967|7|25684
0218967|8|15175
0218967|9|6214
0218967|10|6668
